52, -64.10228 4.82118 1.838287 2.12479 -0.039173 0.78084 -0.43213 0.917225 -0.382094 0.669154 -0.133856 0.348964 -0.004178 0.280933 0.020014 0.219653 -0.038543 0.237756 -0.042259 0.178378 -0.007979 0.187328 0.058214 0.166292;
53, -64.189354 5.894193 1.668185 2.228808 0.062816 0.888934 0.036276 0.507319 -0.060882 0.434743 0.02287 0.30892 0.023605 0.202349 -0.048481 0.200711 -0.060373 0.188295 -0.045142 0.177035 -0.018432 0.160258 0.056901 0.170419;
54, -66.819687 1.536019 0.622837 1.064856 0.211143 0.306856 -0.024325 0.308843 -0.053085 0.297728 0.018598 0.183283 0.064771 0.172497 0.035978 0.106617 -0.019616 0.104323 -0.033716 0.108436 -0.005059 0.079567 0.014946 0.080611;
55, -59.011543 6.581819 4.746666 2.4742 0.097886 1.167012 -1.289017 1.182354 -1.09093 0.840307 -0.543223 0.600803 -0.066344 0.441866 -0.073666 0.396565 -0.348867 0.41071 -0.262167 0.345084 -0.071182 0.272388 0.099191 0.272081;
56, -62.807476 4.263388 3.105823 2.49748 0.475798 0.891536 -0.598397 0.919964 -0.73833 0.848179 -0.390758 0.543297 -0.037467 0.332259 -0.07353 0.347537 -0.210781 0.351341 -0.19136 0.286775 -0.015375 0.272698 0.11856 0.282567;
57, -63.287498 2.793732 2.948479 1.663976 0.574986 0.579962 -0.57562 0.678854 -0.679106 0.518898 -0.269029 0.413274 0.094105 0.408791 -0.00204 0.310179 -0.241706 0.302469 -0.276525 0.290263 -0.12457 0.263856 0.020742 0.223432;
58, -60.829102 2.516651 3.787496 1.371961 0.057261 0.625192 -1.058504 0.747649 -1.503232 0.645875 -0.783053 0.535951 -0.009968 0.513266 -0.19352 0.340096 -0.326821 0.320901 -0.220185 0.322291 0.073167 0.2661 0.385222 0.299324;
59, -67.104385 0.224503 0.471641 0.159254 0.263097 0.104129 0.102551 0.126979 0.048366 0.075803 0.055987 0.071489 0.058589 0.107354 0.034993 0.079018 0.004108 0.027156 -0.015205 0.043085 -0.018811 0.058173 -0.011794 0.041192;
60, -63.990612 2.697696 2.184917 1.393074 -0.152321 0.645856 -1.047867 0.853579 -0.863306 0.520746 -0.343136 0.491625 -0.010659 0.556056 -0.070005 0.335775 -0.241172 0.316541 -0.206006 0.318701 0.102713 0.210471 0.294442 0.229607;
61, -62.273827 5.566822 3.050247 1.931335 0.163765 0.788723 -0.84131 0.949894 -0.930122 0.722294 -0.311753 0.405319 0.052303 0.406435 -0.098302 0.311462 -0.230333 0.298321 -0.155144 0.311008 0.055941 0.239961 0.198159 0.271853;
